example_idx,question,metric_name,call_index,prompt,response_model,response,latency_s,timestamp,model
1,What is LangGraph?,faithfulness_exp1,0,"Given a question and an answer, analyze the complexity of each sentence in the answer. Break down each sentence into one or more fully understandable statements. Ensure that no pronouns are used in any statement.
Please return the output in a JSON format that complies with the following schema as specified in JSON Schema:
{""description"": ""Structured output for statement generation."", ""properties"": {""statements"": {""description"": ""The generated statements from the answer"", ""items"": {""type"": ""string""}, ""title"": ""Statements"", ""type"": ""array""}}, ""required"": [""statements""], ""title"": ""StatementGeneratorOutput"", ""type"": ""object""}Do not use single quotes in your response but double quotes,properly escaped with a backslash.

--------EXAMPLES-----------
Example 1
Input: {
    ""question"": ""Who was Albert Einstein and what is he best known for?"",
    ""answer"": ""He was a German-born theoretical physicist, widely acknowledged to be one of the greatest and most influential physicists of all time. He was best known for developing the theory of relativity, he also made important contributions to the development of the theory of quantum mechanics.""
}
Output: {
    ""statements"": [
        ""Albert Einstein was a German-born theoretical physicist."",
        ""Albert Einstein is recognized as one of the greatest and most influential physicists of all time."",
        ""Albert Einstein was best known for developing the theory of relativity."",
        ""Albert Einstein made important contributions to the development of the theory of quantum mechanics.""
    ]
}
-----------------------------

Now perform the same with the following input
input: {
    ""question"": ""What is LangGraph?"",
    ""answer"": ""LangGraph is a cloud storage solution for backing up files and syncing documents across devices.""
}
Output: ",StatementGeneratorOutput,"statements=['LangGraph is a cloud storage solution.', 'LangGraph is used for backing up files.', 'LangGraph is used for syncing documents across devices.']",2.198,2026-05-22T07:58:53.022619+00:00,gpt-4.1-mini
1,What is LangGraph?,faithfulness_exp1,1,"Your task is to judge the faithfulness of a series of statements based on a given context. For each statement you must return verdict as 1 if the statement can be directly inferred based on the context or 0 if the statement can not be directly inferred based on the context.
Please return the output in a JSON format that complies with the following schema as specified in JSON Schema:
{""$defs"": {""StatementFaithfulnessAnswer"": {""description"": ""Individual statement with reason and verdict for NLI evaluation."", ""properties"": {""statement"": {""description"": ""the original statement, word-by-word"", ""title"": ""Statement"", ""type"": ""string""}, ""reason"": {""description"": ""the reason of the verdict"", ""title"": ""Reason"", ""type"": ""string""}, ""verdict"": {""description"": ""the verdict(0/1) of the faithfulness"", ""title"": ""Verdict"", ""type"": ""integer""}}, ""required"": [""statement"", ""reason"", ""verdict""], ""title"": ""StatementFaithfulnessAnswer"", ""type"": ""object""}}, ""description"": ""Structured output for NLI statement evaluation."", ""properties"": {""statements"": {""description"": ""Evaluated statements with verdicts"", ""items"": {""$ref"": ""#/$defs/StatementFaithfulnessAnswer""}, ""title"": ""Statements"", ""type"": ""array""}}, ""required"": [""statements""], ""title"": ""NLIStatementOutput"", ""type"": ""object""}Do not use single quotes in your response but double quotes,properly escaped with a backslash.

--------EXAMPLES-----------
Example 1
Input: {
    ""context"": ""John is a student at XYZ University. He is pursuing a degree in Computer Science. He is enrolled in several courses this semester, including Data Structures, Algorithms, and Database Management. John is a diligent student and spends a significant amount of time studying and completing assignments. He often stays late in the library to work on his projects."",
    ""statements"": [
        ""John is majoring in Biology."",
        ""John is taking a course on Artificial Intelligence."",
        ""John is a dedicated student."",
        ""John has a part-time job.""
    ]
}
Output: {
    ""statements"": [
        {
            ""statement"": ""John is majoring in Biology."",
            ""reason"": ""John's major is explicitly stated as Computer Science, not Biology."",
            ""verdict"": 0
        },
        {
            ""statement"": ""John is taking a course on Artificial Intelligence."",
            ""reason"": ""The context mentions courses in Data Structures, Algorithms, and Database Management, but does not mention Artificial Intelligence."",
            ""verdict"": 0
        },
        {
            ""statement"": ""John is a dedicated student."",
            ""reason"": ""The context states that John is a diligent student who spends a significant amount of time studying and completing assignments."",
            ""verdict"": 1
        },
        {
            ""statement"": ""John has a part-time job."",
            ""reason"": ""There is no information in the context about John having a part-time job."",
            ""verdict"": 0
        }
    ]
}
-----------------------------

Now perform the same with the following input
input: {
    ""context"": ""LangGraph was developed to give developers fine-grained control over complex agent systems. It provides capabilities through a graph-based programming model where developers define nodes for processing steps and edges for control flow."",
    ""statements"": [
        ""LangGraph is a cloud storage solution."",
        ""LangGraph is used for backing up files."",
        ""LangGraph is used for syncing documents across devices.""
    ]
}
Output: ",NLIStatementOutput,"statements=[StatementFaithfulnessAnswer(statement='LangGraph is a cloud storage solution.', reason='The context describes LangGraph as a graph-based programming model for controlling agent systems, not as a cloud storage solution.', verdict=0), StatementFaithfulnessAnswer(statement='LangGraph is used for backing up files.', reason='The context does not mention any functionality related to backing up files; it focuses on programming model capabilities.', verdict=0), StatementFaithfulnessAnswer(statement='LangGraph is used for syncing documents across devices.', reason='There is no information in the context about syncing documents or any related functionality.', verdict=0)]",1.3422,2026-05-22T07:58:54.365573+00:00,gpt-4.1-mini
2,Does LangSmith introduce biases?,faithfulness_exp1,0,"Given a question and an answer, analyze the complexity of each sentence in the answer. Break down each sentence into one or more fully understandable statements. Ensure that no pronouns are used in any statement.
Please return the output in a JSON format that complies with the following schema as specified in JSON Schema:
{""description"": ""Structured output for statement generation."", ""properties"": {""statements"": {""description"": ""The generated statements from the answer"", ""items"": {""type"": ""string""}, ""title"": ""Statements"", ""type"": ""array""}}, ""required"": [""statements""], ""title"": ""StatementGeneratorOutput"", ""type"": ""object""}Do not use single quotes in your response but double quotes,properly escaped with a backslash.

--------EXAMPLES-----------
Example 1
Input: {
    ""question"": ""Who was Albert Einstein and what is he best known for?"",
    ""answer"": ""He was a German-born theoretical physicist, widely acknowledged to be one of the greatest and most influential physicists of all time. He was best known for developing the theory of relativity, he also made important contributions to the development of the theory of quantum mechanics.""
}
Output: {
    ""statements"": [
        ""Albert Einstein was a German-born theoretical physicist."",
        ""Albert Einstein is recognized as one of the greatest and most influential physicists of all time."",
        ""Albert Einstein was best known for developing the theory of relativity."",
        ""Albert Einstein made important contributions to the development of the theory of quantum mechanics.""
    ]
}
-----------------------------

Now perform the same with the following input
input: {
    ""question"": ""Does LangSmith introduce biases?"",
    ""answer"": ""LLM-as-a-judge is completely free of bias and requires no mitigation techniques.""
}
Output: ",StatementGeneratorOutput,"statements=['LLM-as-a-judge is completely free of bias.', 'LLM-as-a-judge requires no mitigation techniques.']",0.5695,2026-05-22T07:58:54.935597+00:00,gpt-4.1-mini
2,Does LangSmith introduce biases?,faithfulness_exp1,1,"Your task is to judge the faithfulness of a series of statements based on a given context. For each statement you must return verdict as 1 if the statement can be directly inferred based on the context or 0 if the statement can not be directly inferred based on the context.
Please return the output in a JSON format that complies with the following schema as specified in JSON Schema:
{""$defs"": {""StatementFaithfulnessAnswer"": {""description"": ""Individual statement with reason and verdict for NLI evaluation."", ""properties"": {""statement"": {""description"": ""the original statement, word-by-word"", ""title"": ""Statement"", ""type"": ""string""}, ""reason"": {""description"": ""the reason of the verdict"", ""title"": ""Reason"", ""type"": ""string""}, ""verdict"": {""description"": ""the verdict(0/1) of the faithfulness"", ""title"": ""Verdict"", ""type"": ""integer""}}, ""required"": [""statement"", ""reason"", ""verdict""], ""title"": ""StatementFaithfulnessAnswer"", ""type"": ""object""}}, ""description"": ""Structured output for NLI statement evaluation."", ""properties"": {""statements"": {""description"": ""Evaluated statements with verdicts"", ""items"": {""$ref"": ""#/$defs/StatementFaithfulnessAnswer""}, ""title"": ""Statements"", ""type"": ""array""}}, ""required"": [""statements""], ""title"": ""NLIStatementOutput"", ""type"": ""object""}Do not use single quotes in your response but double quotes,properly escaped with a backslash.

--------EXAMPLES-----------
Example 1
Input: {
    ""context"": ""John is a student at XYZ University. He is pursuing a degree in Computer Science. He is enrolled in several courses this semester, including Data Structures, Algorithms, and Database Management. John is a diligent student and spends a significant amount of time studying and completing assignments. He often stays late in the library to work on his projects."",
    ""statements"": [
        ""John is majoring in Biology."",
        ""John is taking a course on Artificial Intelligence."",
        ""John is a dedicated student."",
        ""John has a part-time job.""
    ]
}
Output: {
    ""statements"": [
        {
            ""statement"": ""John is majoring in Biology."",
            ""reason"": ""John's major is explicitly stated as Computer Science, not Biology."",
            ""verdict"": 0
        },
        {
            ""statement"": ""John is taking a course on Artificial Intelligence."",
            ""reason"": ""The context mentions courses in Data Structures, Algorithms, and Database Management, but does not mention Artificial Intelligence."",
            ""verdict"": 0
        },
        {
            ""statement"": ""John is a dedicated student."",
            ""reason"": ""The context states that John is a diligent student who spends a significant amount of time studying and completing assignments."",
            ""verdict"": 1
        },
        {
            ""statement"": ""John has a part-time job."",
            ""reason"": ""There is no information in the context about John having a part-time job."",
            ""verdict"": 0
        }
    ]
}
-----------------------------

Now perform the same with the following input
input: {
    ""context"": ""The LLM-as-a-judge approach introduces several known biases including verbosity bias, position bias, and self-enhancement bias. Mitigating these biases requires techniques like randomizing response order, using multiple judge models, and calibrating against human annotations."",
    ""statements"": [
        ""LLM-as-a-judge is completely free of bias."",
        ""LLM-as-a-judge requires no mitigation techniques.""
    ]
}
Output: ",NLIStatementOutput,"statements=[StatementFaithfulnessAnswer(statement='LLM-as-a-judge is completely free of bias.', reason='The context explicitly states that the LLM-as-a-judge approach introduces several known biases, so it is not free of bias.', verdict=0), StatementFaithfulnessAnswer(statement='LLM-as-a-judge requires no mitigation techniques.', reason='The context mentions that mitigating these biases requires techniques such as randomizing response order, using multiple judge models, and calibrating against human annotations, so mitigation techniques are required.', verdict=0)]",1.4913,2026-05-22T07:58:56.427999+00:00,gpt-4.1-mini
3,What is trajectory evaluation?,faithfulness_exp1,0,"Given a question and an answer, analyze the complexity of each sentence in the answer. Break down each sentence into one or more fully understandable statements. Ensure that no pronouns are used in any statement.
Please return the output in a JSON format that complies with the following schema as specified in JSON Schema:
{""description"": ""Structured output for statement generation."", ""properties"": {""statements"": {""description"": ""The generated statements from the answer"", ""items"": {""type"": ""string""}, ""title"": ""Statements"", ""type"": ""array""}}, ""required"": [""statements""], ""title"": ""StatementGeneratorOutput"", ""type"": ""object""}Do not use single quotes in your response but double quotes,properly escaped with a backslash.

--------EXAMPLES-----------
Example 1
Input: {
    ""question"": ""Who was Albert Einstein and what is he best known for?"",
    ""answer"": ""He was a German-born theoretical physicist, widely acknowledged to be one of the greatest and most influential physicists of all time. He was best known for developing the theory of relativity, he also made important contributions to the development of the theory of quantum mechanics.""
}
Output: {
    ""statements"": [
        ""Albert Einstein was a German-born theoretical physicist."",
        ""Albert Einstein is recognized as one of the greatest and most influential physicists of all time."",
        ""Albert Einstein was best known for developing the theory of relativity."",
        ""Albert Einstein made important contributions to the development of the theory of quantum mechanics.""
    ]
}
-----------------------------

Now perform the same with the following input
input: {
    ""question"": ""What is trajectory evaluation?"",
    ""answer"": ""Trajectory evaluation scores the entire execution path of an agent and was introduced by OpenAI in 2023.""
}
Output: ",StatementGeneratorOutput,"statements=['Trajectory evaluation scores the entire execution path of an agent.', 'OpenAI introduced trajectory evaluation in 2023.']",0.5438,2026-05-22T07:58:56.972424+00:00,gpt-4.1-mini
3,What is trajectory evaluation?,faithfulness_exp1,1,"Your task is to judge the faithfulness of a series of statements based on a given context. For each statement you must return verdict as 1 if the statement can be directly inferred based on the context or 0 if the statement can not be directly inferred based on the context.
Please return the output in a JSON format that complies with the following schema as specified in JSON Schema:
{""$defs"": {""StatementFaithfulnessAnswer"": {""description"": ""Individual statement with reason and verdict for NLI evaluation."", ""properties"": {""statement"": {""description"": ""the original statement, word-by-word"", ""title"": ""Statement"", ""type"": ""string""}, ""reason"": {""description"": ""the reason of the verdict"", ""title"": ""Reason"", ""type"": ""string""}, ""verdict"": {""description"": ""the verdict(0/1) of the faithfulness"", ""title"": ""Verdict"", ""type"": ""integer""}}, ""required"": [""statement"", ""reason"", ""verdict""], ""title"": ""StatementFaithfulnessAnswer"", ""type"": ""object""}}, ""description"": ""Structured output for NLI statement evaluation."", ""properties"": {""statements"": {""description"": ""Evaluated statements with verdicts"", ""items"": {""$ref"": ""#/$defs/StatementFaithfulnessAnswer""}, ""title"": ""Statements"", ""type"": ""array""}}, ""required"": [""statements""], ""title"": ""NLIStatementOutput"", ""type"": ""object""}Do not use single quotes in your response but double quotes,properly escaped with a backslash.

--------EXAMPLES-----------
Example 1
Input: {
    ""context"": ""John is a student at XYZ University. He is pursuing a degree in Computer Science. He is enrolled in several courses this semester, including Data Structures, Algorithms, and Database Management. John is a diligent student and spends a significant amount of time studying and completing assignments. He often stays late in the library to work on his projects."",
    ""statements"": [
        ""John is majoring in Biology."",
        ""John is taking a course on Artificial Intelligence."",
        ""John is a dedicated student."",
        ""John has a part-time job.""
    ]
}
Output: {
    ""statements"": [
        {
            ""statement"": ""John is majoring in Biology."",
            ""reason"": ""John's major is explicitly stated as Computer Science, not Biology."",
            ""verdict"": 0
        },
        {
            ""statement"": ""John is taking a course on Artificial Intelligence."",
            ""reason"": ""The context mentions courses in Data Structures, Algorithms, and Database Management, but does not mention Artificial Intelligence."",
            ""verdict"": 0
        },
        {
            ""statement"": ""John is a dedicated student."",
            ""reason"": ""The context states that John is a diligent student who spends a significant amount of time studying and completing assignments."",
            ""verdict"": 1
        },
        {
            ""statement"": ""John has a part-time job."",
            ""reason"": ""There is no information in the context about John having a part-time job."",
            ""verdict"": 0
        }
    ]
}
-----------------------------

Now perform the same with the following input
input: {
    ""context"": ""Trajectory evaluation is the process of scoring the entire execution path an AI agent takes, including every tool call, intermediate reasoning step, and decision point, rather than only evaluating the final output."",
    ""statements"": [
        ""Trajectory evaluation scores the entire execution path of an agent."",
        ""OpenAI introduced trajectory evaluation in 2023.""
    ]
}
Output: ",NLIStatementOutput,"statements=[StatementFaithfulnessAnswer(statement='Trajectory evaluation scores the entire execution path of an agent.', reason='The context explicitly states that trajectory evaluation is the process of scoring the entire execution path an AI agent takes.', verdict=1), StatementFaithfulnessAnswer(statement='OpenAI introduced trajectory evaluation in 2023.', reason='The context does not mention OpenAI or any introduction date for trajectory evaluation.', verdict=0)]",1.1993,2026-05-22T07:58:58.172530+00:00,gpt-4.1-mini
4,What does LangSmith provide?,faithfulness_exp1,0,"Given a question and an answer, analyze the complexity of each sentence in the answer. Break down each sentence into one or more fully understandable statements. Ensure that no pronouns are used in any statement.
Please return the output in a JSON format that complies with the following schema as specified in JSON Schema:
{""description"": ""Structured output for statement generation."", ""properties"": {""statements"": {""description"": ""The generated statements from the answer"", ""items"": {""type"": ""string""}, ""title"": ""Statements"", ""type"": ""array""}}, ""required"": [""statements""], ""title"": ""StatementGeneratorOutput"", ""type"": ""object""}Do not use single quotes in your response but double quotes,properly escaped with a backslash.

--------EXAMPLES-----------
Example 1
Input: {
    ""question"": ""Who was Albert Einstein and what is he best known for?"",
    ""answer"": ""He was a German-born theoretical physicist, widely acknowledged to be one of the greatest and most influential physicists of all time. He was best known for developing the theory of relativity, he also made important contributions to the development of the theory of quantum mechanics.""
}
Output: {
    ""statements"": [
        ""Albert Einstein was a German-born theoretical physicist."",
        ""Albert Einstein is recognized as one of the greatest and most influential physicists of all time."",
        ""Albert Einstein was best known for developing the theory of relativity."",
        ""Albert Einstein made important contributions to the development of the theory of quantum mechanics.""
    ]
}
-----------------------------

Now perform the same with the following input
input: {
    ""question"": ""What does LangSmith provide?"",
    ""answer"": ""LangSmith provides end-to-end tracing of LLM calls and supports deployment to AWS, GCP, and Azure.""
}
Output: ",StatementGeneratorOutput,"statements=['LangSmith provides end-to-end tracing of LLM calls.', 'LangSmith supports deployment to AWS.', 'LangSmith supports deployment to GCP.', 'LangSmith supports deployment to Azure.']",1.1381,2026-05-22T07:58:59.311175+00:00,gpt-4.1-mini
4,What does LangSmith provide?,faithfulness_exp1,1,"Your task is to judge the faithfulness of a series of statements based on a given context. For each statement you must return verdict as 1 if the statement can be directly inferred based on the context or 0 if the statement can not be directly inferred based on the context.
Please return the output in a JSON format that complies with the following schema as specified in JSON Schema:
{""$defs"": {""StatementFaithfulnessAnswer"": {""description"": ""Individual statement with reason and verdict for NLI evaluation."", ""properties"": {""statement"": {""description"": ""the original statement, word-by-word"", ""title"": ""Statement"", ""type"": ""string""}, ""reason"": {""description"": ""the reason of the verdict"", ""title"": ""Reason"", ""type"": ""string""}, ""verdict"": {""description"": ""the verdict(0/1) of the faithfulness"", ""title"": ""Verdict"", ""type"": ""integer""}}, ""required"": [""statement"", ""reason"", ""verdict""], ""title"": ""StatementFaithfulnessAnswer"", ""type"": ""object""}}, ""description"": ""Structured output for NLI statement evaluation."", ""properties"": {""statements"": {""description"": ""Evaluated statements with verdicts"", ""items"": {""$ref"": ""#/$defs/StatementFaithfulnessAnswer""}, ""title"": ""Statements"", ""type"": ""array""}}, ""required"": [""statements""], ""title"": ""NLIStatementOutput"", ""type"": ""object""}Do not use single quotes in your response but double quotes,properly escaped with a backslash.

--------EXAMPLES-----------
Example 1
Input: {
    ""context"": ""John is a student at XYZ University. He is pursuing a degree in Computer Science. He is enrolled in several courses this semester, including Data Structures, Algorithms, and Database Management. John is a diligent student and spends a significant amount of time studying and completing assignments. He often stays late in the library to work on his projects."",
    ""statements"": [
        ""John is majoring in Biology."",
        ""John is taking a course on Artificial Intelligence."",
        ""John is a dedicated student."",
        ""John has a part-time job.""
    ]
}
Output: {
    ""statements"": [
        {
            ""statement"": ""John is majoring in Biology."",
            ""reason"": ""John's major is explicitly stated as Computer Science, not Biology."",
            ""verdict"": 0
        },
        {
            ""statement"": ""John is taking a course on Artificial Intelligence."",
            ""reason"": ""The context mentions courses in Data Structures, Algorithms, and Database Management, but does not mention Artificial Intelligence."",
            ""verdict"": 0
        },
        {
            ""statement"": ""John is a dedicated student."",
            ""reason"": ""The context states that John is a diligent student who spends a significant amount of time studying and completing assignments."",
            ""verdict"": 1
        },
        {
            ""statement"": ""John has a part-time job."",
            ""reason"": ""There is no information in the context about John having a part-time job."",
            ""verdict"": 0
        }
    ]
}
-----------------------------

Now perform the same with the following input
input: {
    ""context"": ""LangSmith provides end-to-end tracing of LLM calls and agent runs, allowing developers to inspect every input, output, and intermediate step in their application."",
    ""statements"": [
        ""LangSmith provides end-to-end tracing of LLM calls."",
        ""LangSmith supports deployment to AWS."",
        ""LangSmith supports deployment to GCP."",
        ""LangSmith supports deployment to Azure.""
    ]
}
Output: ",NLIStatementOutput,"statements=[StatementFaithfulnessAnswer(statement='LangSmith provides end-to-end tracing of LLM calls.', reason='The context explicitly states that LangSmith provides end-to-end tracing of LLM calls.', verdict=1), StatementFaithfulnessAnswer(statement='LangSmith supports deployment to AWS.', reason='The context does not mention anything about LangSmith supporting deployment to AWS.', verdict=0), StatementFaithfulnessAnswer(statement='LangSmith supports deployment to GCP.', reason='The context does not mention anything about LangSmith supporting deployment to GCP.', verdict=0), StatementFaithfulnessAnswer(statement='LangSmith supports deployment to Azure.', reason='The context does not mention anything about LangSmith supporting deployment to Azure.', verdict=0)]",1.9195,2026-05-22T07:59:01.231069+00:00,gpt-4.1-mini
5,What languages does LangChain support?,faithfulness_exp1,0,"Given a question and an answer, analyze the complexity of each sentence in the answer. Break down each sentence into one or more fully understandable statements. Ensure that no pronouns are used in any statement.
Please return the output in a JSON format that complies with the following schema as specified in JSON Schema:
{""description"": ""Structured output for statement generation."", ""properties"": {""statements"": {""description"": ""The generated statements from the answer"", ""items"": {""type"": ""string""}, ""title"": ""Statements"", ""type"": ""array""}}, ""required"": [""statements""], ""title"": ""StatementGeneratorOutput"", ""type"": ""object""}Do not use single quotes in your response but double quotes,properly escaped with a backslash.

--------EXAMPLES-----------
Example 1
Input: {
    ""question"": ""Who was Albert Einstein and what is he best known for?"",
    ""answer"": ""He was a German-born theoretical physicist, widely acknowledged to be one of the greatest and most influential physicists of all time. He was best known for developing the theory of relativity, he also made important contributions to the development of the theory of quantum mechanics.""
}
Output: {
    ""statements"": [
        ""Albert Einstein was a German-born theoretical physicist."",
        ""Albert Einstein is recognized as one of the greatest and most influential physicists of all time."",
        ""Albert Einstein was best known for developing the theory of relativity."",
        ""Albert Einstein made important contributions to the development of the theory of quantum mechanics.""
    ]
}
-----------------------------

Now perform the same with the following input
input: {
    ""question"": ""What languages does LangChain support?"",
    ""answer"": ""LangChain supports Python and Rust with dedicated packages for each.""
}
Output: ",StatementGeneratorOutput,"statements=['LangChain supports the Python programming language.', 'LangChain supports the Rust programming language.', 'LangChain has dedicated packages for the Python programming language.', 'LangChain has dedicated packages for the Rust programming language.']",0.7114,2026-05-22T07:59:01.943394+00:00,gpt-4.1-mini
5,What languages does LangChain support?,faithfulness_exp1,1,"Your task is to judge the faithfulness of a series of statements based on a given context. For each statement you must return verdict as 1 if the statement can be directly inferred based on the context or 0 if the statement can not be directly inferred based on the context.
Please return the output in a JSON format that complies with the following schema as specified in JSON Schema:
{""$defs"": {""StatementFaithfulnessAnswer"": {""description"": ""Individual statement with reason and verdict for NLI evaluation."", ""properties"": {""statement"": {""description"": ""the original statement, word-by-word"", ""title"": ""Statement"", ""type"": ""string""}, ""reason"": {""description"": ""the reason of the verdict"", ""title"": ""Reason"", ""type"": ""string""}, ""verdict"": {""description"": ""the verdict(0/1) of the faithfulness"", ""title"": ""Verdict"", ""type"": ""integer""}}, ""required"": [""statement"", ""reason"", ""verdict""], ""title"": ""StatementFaithfulnessAnswer"", ""type"": ""object""}}, ""description"": ""Structured output for NLI statement evaluation."", ""properties"": {""statements"": {""description"": ""Evaluated statements with verdicts"", ""items"": {""$ref"": ""#/$defs/StatementFaithfulnessAnswer""}, ""title"": ""Statements"", ""type"": ""array""}}, ""required"": [""statements""], ""title"": ""NLIStatementOutput"", ""type"": ""object""}Do not use single quotes in your response but double quotes,properly escaped with a backslash.

--------EXAMPLES-----------
Example 1
Input: {
    ""context"": ""John is a student at XYZ University. He is pursuing a degree in Computer Science. He is enrolled in several courses this semester, including Data Structures, Algorithms, and Database Management. John is a diligent student and spends a significant amount of time studying and completing assignments. He often stays late in the library to work on his projects."",
    ""statements"": [
        ""John is majoring in Biology."",
        ""John is taking a course on Artificial Intelligence."",
        ""John is a dedicated student."",
        ""John has a part-time job.""
    ]
}
Output: {
    ""statements"": [
        {
            ""statement"": ""John is majoring in Biology."",
            ""reason"": ""John's major is explicitly stated as Computer Science, not Biology."",
            ""verdict"": 0
        },
        {
            ""statement"": ""John is taking a course on Artificial Intelligence."",
            ""reason"": ""The context mentions courses in Data Structures, Algorithms, and Database Management, but does not mention Artificial Intelligence."",
            ""verdict"": 0
        },
        {
            ""statement"": ""John is a dedicated student."",
            ""reason"": ""The context states that John is a diligent student who spends a significant amount of time studying and completing assignments."",
            ""verdict"": 1
        },
        {
            ""statement"": ""John has a part-time job."",
            ""reason"": ""There is no information in the context about John having a part-time job."",
            ""verdict"": 0
        }
    ]
}
-----------------------------

Now perform the same with the following input
input: {
    ""context"": ""LangChain has GitHub repositories for both its Python and JavaScript packages, which have collectively surpassed 1 billion total downloads."",
    ""statements"": [
        ""LangChain supports the Python programming language."",
        ""LangChain supports the Rust programming language."",
        ""LangChain has dedicated packages for the Python programming language."",
        ""LangChain has dedicated packages for the Rust programming language.""
    ]
}
Output: ",NLIStatementOutput,"statements=[StatementFaithfulnessAnswer(statement='LangChain supports the Python programming language.', reason='The context states that LangChain has GitHub repositories for its Python package, implying support for Python.', verdict=1), StatementFaithfulnessAnswer(statement='LangChain supports the Rust programming language.', reason='The context does not mention Rust or any support for the Rust programming language.', verdict=0), StatementFaithfulnessAnswer(statement='LangChain has dedicated packages for the Python programming language.', reason='The context explicitly mentions LangChain has GitHub repositories for its Python package, indicating dedicated packages.', verdict=1), StatementFaithfulnessAnswer(statement='LangChain has dedicated packages for the Rust programming language.', reason='The context does not mention any packages for the Rust programming language.', verdict=0)]",1.5674,2026-05-22T07:59:03.511155+00:00,gpt-4.1-mini
