,,prompt_tokens,prompt_tokens,prompt_tokens,prompt_tokens,completion_tokens,completion_tokens,completion_tokens,completion_tokens,total_tokens,total_tokens,total_tokens,total_tokens,cached_tokens,cached_tokens,cached_tokens,cached_tokens,reasoning_tokens,reasoning_tokens,reasoning_tokens,reasoning_tokens
,,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
model,metric_name,,,,,,,,,,,,,,,,,,,,
LLaDA2.1-mini,answer_relevancy,735.1,732.5,16.991580064945335,30,36.5,37.0,2.403302325752114,30,771.6,769.0,17.195829486364932,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30
LLaDA2.1-mini,context_relevance,1413.5,1378.0,487.9814953039062,84,13.238095238095237,13.0,2.38276465739006,84,1426.7380952380952,1391.0,489.4338287737531,84,0.0,0.0,0.0,84,0.0,0.0,0.0,84
LLaDA2.1-mini,context_utilization,1560.5454545454545,1646.0,570.56150824582,88,71.69318181818181,66.5,19.83342004494449,88,1632.2386363636363,1700.5,583.5650047868809,88,0.0,0.0,0.0,88,0.0,0.0,0.0,88
LLaDA2.1-mini,faithfulness_exp1,1514.4252873563219,1268.0,1573.1686557242087,87,432.4367816091954,244.0,434.987187759712,87,1946.8620689655172,1464.0,1941.2028707492095,87,0.0,0.0,0.0,87,0.0,0.0,0.0,87
LLaDA2.1-mini,faithfulness_exp2,1856.6341463414635,1597.0,1017.2381667067345,41,542.170731707317,470.0,429.63443195576303,41,2398.8048780487807,2115.0,1418.2798598921195,41,0.0,0.0,0.0,41,0.0,0.0,0.0,41
LLaDA2.1-mini,response_groundedness,1376.340425531915,1363.5,441.2309407548237,94,13.074468085106384,13.0,0.7219948723811552,94,1389.4148936170213,1376.5,441.5576877416496,94,0.0,0.0,0.0,94,0.0,0.0,0.0,94
Qwen3.6-35B-A3B-FP8,answer_relevancy,722.1,719.5,16.94076902541367,30,1084.2666666666667,993.0,469.50053676538914,30,1806.3666666666666,1722.0,467.3924352252046,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30
Qwen3.6-35B-A3B-FP8,context_relevance,1306.8095238095239,1359.0,327.35395810056724,84,973.547619047619,972.5,312.33197525285027,84,2280.3571428571427,2308.5,490.5232672682281,84,0.0,0.0,0.0,84,0.0,0.0,0.0,84
Qwen3.6-35B-A3B-FP8,context_utilization,1491.9431818181818,1598.0,166.0052871304914,88,1294.625,1301.5,300.1538805537824,88,2786.568181818182,2767.5,370.0439798482656,88,0.0,0.0,0.0,88,0.0,0.0,0.0,88
Qwen3.6-35B-A3B-FP8,faithfulness_exp1,1199.5,1009.0,639.9341477708047,90,3113.3444444444444,3020.5,1296.7734476025455,90,4312.844444444445,4508.0,1637.6264401728067,90,0.0,0.0,0.0,90,0.0,0.0,0.0,90
Qwen3.6-35B-A3B-FP8,faithfulness_exp2,1742.3111111111111,1620.0,436.1764041710138,45,2965.3555555555554,3068.0,1159.4831363302976,45,4707.666666666667,4822.0,1519.151437780016,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45
